op_id,depth,storage_load_us
0,1,0
1,8,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,8,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,8,0
17,1,0
18,8,0
19,1,0
20,1,2000
21,8,2000
22,1,2000
23,8,2000
24,1,2000
25,1,2000
26,1,2000
27,1,2000
28,1,2000
29,8,2000
30,8,2000
31,1,2000
32,1,2000
33,8,2000
34,1,2000
35,1,2000
36,8,2000
37,1,2000
38,8,2000
39,1,2000
40,1,0
41,1,0
42,8,0
43,1,0
44,1,0
45,1,0
46,8,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,8,0
53,8,0
54,1,0
55,1,0
56,8,0
57,8,0
58,1,0
59,1,0
60,8,2000
61,1,2000
62,8,2000
63,8,2000
64,8,2000
65,1,2000
66,8,2000
67,8,2000
68,1,2000
69,1,2000
70,1,2000
71,8,2000
72,1,2000
73,8,2000
74,1,2000
75,8,2000
76,1,2000
77,1,2000
78,1,2000
79,8,2000
80,1,0
81,1,0
82,8,0
83,1,0
84,1,0
85,8,0
86,8,0
87,8,0
88,8,0
89,1,0
90,1,0
91,1,0
92,8,0
93,8,0
94,1,0
95,1,0
96,8,0
97,1,0
98,1,0
99,1,0
100,8,2000
101,1,2000
102,1,2000
103,1,2000
104,1,2000
105,8,2000
106,8,2000
107,8,2000
108,8,2000
109,1,2000
110,8,2000
111,1,2000
112,1,2000
113,8,2000
114,1,2000
115,1,2000
116,1,2000
117,8,2000
118,8,2000
119,1,2000
120,1,0
121,8,0
122,1,0
123,8,0
124,1,0
125,1,0
126,1,0
127,8,0
128,8,0
129,8,0
130,8,0
131,1,0
132,1,0
133,8,0
134,8,0
135,1,0
136,8,0
137,8,0
138,1,0
139,1,0
140,1,2000
141,1,2000
142,1,2000
143,8,2000
144,8,2000
145,1,2000
146,8,2000
147,1,2000
148,1,2000
149,1,2000
150,1,2000
151,1,2000
152,1,2000
153,8,2000
154,8,2000
155,8,2000
156,8,2000
157,1,2000
158,1,2000
159,8,2000
160,1,0
161,1,0
162,8,0
163,1,0
164,8,0
165,8,0
166,1,0
167,1,0
168,8,0
169,1,0
170,1,0
171,8,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,2000
181,8,2000
182,1,2000
183,1,2000
184,1,2000
185,1,2000
186,1,2000
187,1,2000
188,1,2000
189,8,2000
190,1,2000
191,8,2000
192,1,2000
193,8,2000
194,8,2000
195,1,2000
196,1,2000
197,8,2000
198,1,2000
199,1,2000
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,8,0
212,8,0
213,1,0
214,8,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,2000
221,1,2000
222,8,2000
223,1,2000
224,1,2000
225,8,2000
226,8,2000
227,8,2000
228,1,2000
229,8,2000
230,1,2000
231,8,2000
232,8,2000
233,8,2000
234,1,2000
235,1,2000
236,8,2000
237,8,2000
238,1,2000
239,1,2000
240,8,0
241,8,0
242,1,0
243,8,0
244,8,0
245,1,0
246,1,0
247,8,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,8,0
258,1,0
259,1,0
260,8,2000
261,1,2000
262,1,2000
263,1,2000
264,8,2000
265,1,2000
266,8,2000
267,1,2000
268,8,2000
269,1,2000
270,1,2000
271,8,2000
272,8,2000
273,8,2000
274,1,2000
275,1,2000
276,1,2000
277,1,2000
278,1,2000
279,1,2000
280,8,0
281,8,0
282,1,0
283,8,0
284,1,0
285,1,0
286,1,0
287,8,0
288,1,0
289,1,0
290,8,0
291,1,0
292,1,0
293,1,0
294,8,0
295,1,0
296,1,0
297,1,0
298,1,0
299,1,0
