op_id,key,k
0,1034,1
1,1065,2
2,112,1
3,1176,1
4,1252,1
5,1254,1
6,1262,1
7,1270,1
8,1276,2
9,1295,1
10,1346,1
11,1353,1
12,1362,1
13,1368,1
14,1395,1
15,1430,1
16,1442,2
17,145,1
18,1474,2
19,1492,1
20,153,1
21,154,2
22,1546,1
23,155,2
24,1558,1
25,160,1
26,1627,1
27,1631,1
28,164,1
29,1664,2
30,167,2
31,1683,1
32,1687,1
33,169,2
34,170,1
35,172,1
36,173,2
37,174,1
38,175,2
39,176,1
40,177,1
41,178,1
42,1785,2
43,180,1
44,181,1
45,182,1
46,1822,2
47,184,1
48,185,1
49,186,1
50,187,1
51,188,1
52,189,2
53,190,2
54,1843,1
55,192,1
56,193,2
57,194,2
58,195,1
59,196,1
60,197,2
61,198,1
62,199,2
63,200,2
64,201,2
65,202,1
66,203,2
67,204,2
68,1852,1
69,206,1
70,207,1
71,208,2
72,1859,1
73,1860,2
74,211,1
75,212,2
76,213,1
77,214,1
78,1865,1
79,216,2
80,217,1
81,218,1
82,219,2
83,220,1
84,221,1
85,222,2
86,223,2
87,224,2
88,225,2
89,226,1
90,227,1
91,228,1
92,229,2
93,230,2
94,231,1
95,232,1
96,233,2
97,234,1
98,1893,1
99,236,1
