op_id,key,k
0,1034,1
1,1065,1
2,112,1
3,1176,1
4,1252,1
5,1254,1
6,1262,1
7,1270,1
8,1276,1
9,1295,1
10,1346,1
11,1353,1
12,1362,1
13,1368,1
14,1395,1
15,1430,1
16,1442,1
17,145,1
18,1474,1
19,1492,1
20,153,1
21,154,1
22,1546,1
23,155,1
24,1558,1
25,160,1
26,1627,1
27,1631,1
28,164,1
29,1664,1
30,167,1
31,1683,1
32,1687,1
33,169,1
34,170,1
35,172,1
36,173,1
37,174,1
38,175,1
39,176,1
40,177,1
41,178,1
42,1785,1
43,180,1
44,181,1
45,182,1
46,1822,1
47,184,1
48,185,1
49,186,1
50,187,1
51,188,1
52,189,1
53,190,1
54,1843,1
55,192,1
56,193,1
57,194,1
58,195,1
59,196,1
60,197,1
61,198,1
62,199,1
63,200,1
64,201,1
65,202,1
66,203,1
67,204,1
68,1852,1
69,206,1
70,207,1
71,208,1
72,1859,1
73,1860,1
74,211,1
75,212,1
76,213,1
77,214,1
78,1865,1
79,216,1
80,217,1
81,218,1
82,219,1
83,220,1
84,221,1
85,222,1
86,223,1
87,224,1
88,225,1
89,226,1
90,227,1
91,228,1
92,229,1
93,230,1
94,231,1
95,232,1
96,233,1
97,234,1
98,1893,1
99,236,1
100,1034,1
101,1065,1
102,112,1
103,1176,1
104,1252,1
105,1254,1
106,1262,1
107,1270,1
108,1276,1
109,1295,1
110,1346,1
111,1353,1
112,1362,1
113,1368,1
114,1395,1
115,1430,1
116,1442,1
117,145,1
118,1474,1
119,1492,1
120,153,1
121,154,1
122,1546,1
123,155,1
124,1558,1
125,160,1
126,1627,1
127,1631,1
128,164,1
129,1664,1
130,167,1
131,1683,1
132,1687,1
133,169,1
134,170,1
135,172,1
136,173,1
137,174,1
138,175,1
139,176,1
140,177,1
141,178,1
142,1785,1
143,180,1
144,181,1
145,182,1
146,1822,1
147,184,1
148,185,1
149,186,1
150,187,2
151,188,2
152,189,2
153,190,2
154,1843,2
155,192,2
156,193,2
157,194,2
158,195,2
159,196,2
160,197,2
161,198,2
162,199,2
163,200,2
164,201,2
165,202,2
166,203,2
167,204,2
168,1852,2
169,206,2
170,207,2
171,208,2
172,1859,2
173,1860,2
174,211,2
175,212,2
176,213,2
177,214,2
178,1865,2
179,216,2
180,217,2
181,218,2
182,219,2
183,220,2
184,221,2
185,222,2
186,223,2
187,224,2
188,225,2
189,226,2
190,227,2
191,228,2
192,229,2
193,230,2
194,231,2
195,232,2
196,233,2
197,234,2
198,1893,2
199,236,2
200,1034,2
201,1065,2
202,112,2
203,1176,2
204,1252,2
205,1254,2
206,1262,2
207,1270,2
208,1276,2
209,1295,2
210,1346,2
211,1353,2
212,1362,2
213,1368,2
214,1395,2
215,1430,2
216,1442,2
217,145,2
218,1474,2
219,1492,2
220,153,2
221,154,2
222,1546,2
223,155,2
224,1558,2
225,160,2
226,1627,2
227,1631,2
228,164,2
229,1664,2
230,167,2
231,1683,2
232,1687,2
233,169,2
234,170,2
235,172,2
236,173,2
237,174,2
238,175,2
239,176,2
240,177,2
241,178,2
242,1785,2
243,180,2
244,181,2
245,182,2
246,1822,2
247,184,2
248,185,2
249,186,2
250,187,2
251,188,2
252,189,2
253,190,2
254,1843,2
255,192,2
256,193,2
257,194,2
258,195,2
259,196,2
260,197,2
261,198,2
262,199,2
263,200,2
264,201,2
265,202,2
266,203,2
267,204,2
268,1852,2
269,206,2
270,207,2
271,208,2
272,1859,2
273,1860,2
274,211,2
275,212,2
276,213,2
277,214,2
278,1865,2
279,216,2
280,217,2
281,218,2
282,219,2
283,220,2
284,221,2
285,222,2
286,223,2
287,224,2
288,225,2
289,226,2
290,227,2
291,228,2
292,229,2
293,230,2
294,231,2
295,232,2
296,233,2
297,234,2
298,1893,2
299,236,2
