op_id,depth,size
0,1,1048576
1,8,1048576
2,1,1024
3,2,1024
4,1,1024
5,2,1024
6,2,1024
7,2,1024
8,8,1048576
9,2,1024
10,1,1024
11,1,1024
12,2,1024
13,1,1024
14,2,1024
15,2,1048576
16,8,1024
17,1,1024
18,8,1024
19,2,1024
20,2,1024
21,8,1024
22,1,1024
23,8,1024
24,1,1024
25,2,1024
26,1,1048576
27,1,1024
28,1,1024
29,8,1024
30,8,1024
31,1,1048576
32,2,1024
33,8,1024
34,1,1024
35,2,1024
36,8,1024
37,1,1024
38,8,1024
39,1,1024
40,2,1048576
41,2,1048576
42,8,1024
43,1,1048576
44,2,1048576
45,1,1024
46,8,1024
47,1,1048576
48,2,1024
49,2,1024
50,1,1024
51,2,1024
52,8,1024
53,8,1048576
54,1,1024
55,1,1024
56,8,1024
57,8,1048576
58,2,1024
59,1,1024
60,8,1024
61,2,1048576
62,8,1024
63,8,1024
64,8,1048576
65,2,1048576
66,8,1024
67,8,1024
68,1,1024
69,2,1024
70,2,1024
71,8,1048576
72,2,1048576
73,8,1024
74,2,1024
75,8,1048576
76,1,1048576
77,2,1024
78,1,1024
79,8,1024
80,2,1024
81,2,1024
82,8,1024
83,1,1024
84,2,1024
85,8,1024
86,8,1024
87,8,1024
88,8,1024
89,2,1048576
90,1,1048576
91,2,1024
92,8,1048576
93,8,1024
94,1,1048576
95,1,1024
96,8,1024
97,2,1024
98,2,1048576
99,2,1048576
100,8,1024
101,1,1048576
102,2,1024
103,1,1024
104,2,1024
105,8,1024
106,8,1024
107,8,1024
108,8,1024
109,2,1024
110,8,1048576
111,1,1024
112,1,1024
113,8,1048576
114,1,1048576
115,1,1024
116,1,1024
117,8,1024
118,8,1024
119,1,1024
120,2,1024
121,8,1048576
122,2,1024
123,8,1024
124,2,1024
125,2,1024
126,2,1024
127,8,1024
128,8,1024
129,8,1024
130,8,1024
131,1,1024
132,2,1048576
133,8,1048576
134,8,1048576
135,1,1024
136,8,1024
137,8,1024
138,1,1024
139,2,1024
140,1,1024
141,2,1024
142,2,1024
143,8,1024
144,8,1024
145,1,1024
146,8,1024
147,2,1048576
148,2,1024
149,2,1048576
150,2,1048576
151,2,1024
152,1,1024
153,8,1024
154,8,1024
155,8,1024
156,8,1024
157,2,1024
158,2,1024
159,8,1024
160,1,1024
161,1,1048576
162,8,1024
163,1,1048576
164,8,1024
165,8,1024
166,1,1024
167,1,1024
168,8,1024
169,2,1024
170,1,1024
171,8,1024
172,1,1024
173,1,1048576
174,1,1024
175,2,1024
176,1,1024
177,2,1048576
178,1,1024
179,2,1048576
180,1,1024
181,8,1024
182,1,1048576
183,2,1024
184,2,1024
185,1,1048576
186,1,1048576
187,1,1048576
188,2,1048576
189,8,1024
190,1,1048576
191,8,1048576
192,2,1024
193,8,1024
194,8,1024
195,2,1024
196,2,1024
197,8,1024
198,2,1024
199,2,1048576
200,2,1048576
201,1,1024
202,1,1048576
203,2,1024
204,2,1024
205,2,1024
206,2,1024
207,1,1048576
208,2,1024
209,1,1024
210,2,1048576
211,8,1024
212,8,1024
213,1,1024
214,8,1024
215,2,1024
216,1,1048576
217,1,1048576
218,1,1024
219,2,1024
220,1,1024
221,1,1024
222,8,1024
223,1,1048576
224,2,1024
225,8,1024
226,8,1048576
227,8,1048576
228,2,1048576
229,8,1024
230,1,1024
231,8,1024
232,8,1048576
233,8,1024
234,2,1024
235,1,1048576
236,8,1024
237,8,1048576
238,1,1024
239,2,1048576
240,8,1024
241,8,1024
242,2,1024
243,8,1024
244,8,1024
245,2,1024
246,1,1024
247,8,1024
248,2,1024
249,1,1024
250,1,1024
251,1,1024
252,2,1024
253,1,1024
254,1,1048576
255,2,1024
256,2,1024
257,8,1048576
258,1,1024
259,2,1048576
260,8,1048576
261,2,1024
262,1,1024
263,1,1024
264,8,1024
265,1,1024
266,8,1024
267,1,1024
268,8,1048576
269,2,1024
270,1,1024
271,8,1024
272,8,1024
273,8,1024
274,1,1024
275,2,1024
276,1,1024
277,2,1024
278,1,1024
279,1,1024
280,8,1048576
281,8,1048576
282,2,1048576
283,8,1024
284,1,1048576
285,2,1024
286,1,1024
287,8,1024
288,2,1024
289,2,1024
290,8,1024
291,2,1024
292,1,1024
293,2,1024
294,8,1048576
295,2,1024
296,2,1048576
297,1,1048576
298,1,1048576
299,1,1024
