op_id,depth
0,1
1,8
2,1
3,2
4,1
5,2
6,2
7,2
8,8
9,2
10,1
11,1
12,2
13,1
14,2
15,2
16,8
17,1
18,8
19,2
20,2
21,8
22,1
23,8
24,1
25,2
26,1
27,1
28,1
29,8
30,8
31,1
32,2
33,8
34,1
35,2
36,8
37,1
38,8
39,1
40,2
41,2
42,8
43,1
44,2
45,1
46,8
47,1
48,2
49,2
50,1
51,2
52,8
53,8
54,1
55,1
56,8
57,8
58,2
59,1
60,8
61,2
62,8
63,8
64,8
65,2
66,8
67,8
68,1
69,2
70,2
71,8
72,2
73,8
74,2
75,8
76,1
77,2
78,1
79,8
80,2
81,2
82,8
83,1
84,2
85,8
86,8
87,8
88,8
89,2
90,1
91,2
92,8
93,8
94,1
95,1
96,8
97,2
98,2
99,2
100,8
101,1
102,2
103,1
104,2
105,8
106,8
107,8
108,8
109,2
110,8
111,1
112,1
113,8
114,1
115,1
116,1
117,8
118,8
119,1
120,2
121,8
122,2
123,8
124,2
125,2
126,2
127,8
128,8
129,8
130,8
131,1
132,2
133,8
134,8
135,1
136,8
137,8
138,1
139,2
140,1
141,2
142,2
143,8
144,8
145,1
146,8
147,2
148,2
149,2
150,2
151,2
152,1
153,8
154,8
155,8
156,8
157,2
158,2
159,8
160,1
161,1
162,8
163,1
164,8
165,8
166,1
167,1
168,8
169,2
170,1
171,8
172,1
173,1
174,1
175,2
176,1
177,2
178,1
179,2
180,1
181,8
182,1
183,2
184,2
185,1
186,1
187,1
188,2
189,8
190,1
191,8
192,2
193,8
194,8
195,2
196,2
197,8
198,2
199,2
200,2
201,1
202,1
203,2
204,2
205,2
206,2
207,1
208,2
209,1
210,2
211,8
212,8
213,1
214,8
215,2
216,1
217,1
218,1
219,2
220,1
221,1
222,8
223,1
224,2
225,8
226,8
227,8
228,2
229,8
230,1
231,8
232,8
233,8
234,2
235,1
236,8
237,8
238,1
239,2
240,8
241,8
242,2
243,8
244,8
245,2
246,1
247,8
248,2
249,1
250,1
251,1
252,2
253,1
254,1
255,2
256,2
257,8
258,1
259,2
260,8
261,2
262,1
263,1
264,8
265,1
266,8
267,1
268,8
269,2
270,1
271,8
272,8
273,8
274,1
275,2
276,1
277,2
278,1
279,1
280,8
281,8
282,2
283,8
284,1
285,2
286,1
287,8
288,2
289,2
290,8
291,2
292,1
293,2
294,8
295,2
296,2
297,1
298,1
299,1
