name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
hot-get,1000,local,1024,0.20470833778381348,0.1957416534423828,0.20623207092285156,0.22960186004638672,1.008749008178711,0.18835067749023438,0.19883418083190918,4885.00,0.00
hot-update,1000,local,1024,1.1166772842407227,1.1049509048461914,1.2431621551513672,1.3067865371704102,1.8720626831054688,0.8516311645507812,1.1048235893249512,895.51,0.00
cold-get,1000,local,1024,0.8486452102661133,0.8324384689331055,0.9164810180664062,1.0135436058044434,1.6429424285888672,0.6053447723388672,0.836301326751709,1178.35,0.00
cold-update,1000,local,1024,1.6606497764587402,1.6489028930664062,1.872110366821289,1.9846081733703613,2.5920867919921875,0.9410381317138672,1.6454558372497559,602.17,0.00
hot-get,1000,remote,1024,0.8769104480743408,0.863194465637207,0.9835958480834961,1.067647933959961,1.70135498046875,0.57220458984375,0.860149621963501,1140.37,0.00
hot-update,1000,remote,1024,0.8683185577392578,0.8637905120849609,0.9456157684326172,1.0039949417114258,1.6994476318359375,0.4634857177734375,0.8561067581176758,1151.65,0.00
cold-get,1000,remote,1024,0.9352145195007324,0.918269157409668,1.0364055633544922,1.0881686210632324,1.8358230590820312,0.5748271942138672,0.9177103042602539,1069.27,0.00
cold-update,1000,remote,1024,0.9775538444519043,0.9469985961914062,1.0941028594970703,1.116044521331787,1.8961429595947266,0.6110668182373047,0.960597038269043,1022.96,0.00
hot-get,1000,kayak,1024,0.6603097915649414,0.731348991394043,1.0223865509033203,1.1332082748413086,1.8658638000488281,0.19621849060058594,0.6445317268371582,1514.44,0.00
hot-update,1000,kayak,1024,1.0585179328918457,1.0124444961547852,1.3178586959838867,1.5487909317016597,2.0182132720947266,0.5733966827392578,1.039637804031372,944.72,0.00
cold-get,1000,kayak,1024,0.9466748237609863,0.9307861328125,1.057887077331543,1.1146140098571777,1.8520355224609375,0.6535053253173828,0.9286668300628662,1056.33,0.00
cold-update,1000,kayak,1024,1.4538817405700684,1.1140108108520508,2.0613908767700195,2.1596169471740723,2.9680728912353516,0.6823539733886719,1.4350743293762207,687.81,0.00
hot-get,1000,asfp,1024,0.9082436561584473,0.8474588394165039,1.1499404907226562,1.4210271835327148,2.083301544189453,0.4954338073730469,0.890117883682251,1101.03,0.00
hot-update,1000,asfp,1024,1.150552749633789,0.9430646896362305,2.0795345306396484,2.4029040336608887,2.5882720947265625,0.6110668182373047,1.131300449371338,869.15,0.00
cold-get,1000,asfp,1024,1.0796337127685547,0.9076595306396484,1.7651796340942383,1.958160400390625,2.419710159301758,0.6797313690185547,1.0614044666290283,926.24,0.00
cold-update,1000,asfp,1024,1.3563671112060547,0.965118408203125,2.8558731079101562,3.07157039642334,3.4198760986328125,0.6608963012695312,1.3380320072174072,737.26,0.00
hot-get,1000,local,10240,0.24862217903137207,0.23984909057617188,0.25060176849365234,0.28327703475952143,1.069784164428711,0.2243518829345703,0.24207234382629395,4022.17,0.00
hot-update,1000,local,10240,1.2767698764801025,1.2269020080566406,1.4627456665039062,1.5816688537597656,2.009153366088867,1.0154247283935547,1.2633073329925537,783.23,0.00
cold-get,1000,local,10240,0.999579668045044,0.9673833847045898,1.074385643005371,1.1501359939575195,1.7046928405761719,0.8509159088134766,0.983811616897583,1000.42,0.00
cold-update,1000,local,10240,2.0090880393981934,1.9744634628295898,2.114558219909668,2.2917890548706055,2.84576416015625,1.6682147979736328,1.9924161434173584,497.74,0.00
hot-get,1000,remote,10240,0.8917615413665771,0.8730888366699219,0.9725093841552734,0.9927773475646973,1.7213821411132812,0.7045269012451172,0.8787565231323242,1121.38,0.00
hot-update,1000,remote,10240,0.895735502243042,0.8741617202758789,1.0054588317871094,1.031641960144043,1.592874526977539,0.5469322204589844,0.8786282539367676,1116.40,0.00
cold-get,1000,remote,10240,0.9110119342803955,0.8985996246337891,0.98876953125,1.0314035415649414,1.8038749694824219,0.6420612335205078,0.8948788642883301,1097.68,0.00
cold-update,1000,remote,10240,0.9348459243774414,0.9200572967529297,1.0318756103515625,1.089615821838379,1.8055438995361328,0.6968975067138672,0.9179308414459229,1069.69,0.00
hot-get,1000,kayak,10240,0.6280431747436523,0.5490779876708984,0.9266853332519531,1.037609577178955,1.4646053314208984,0.2288818359375,0.6109340190887451,1592.25,0.00
hot-update,1000,kayak,10240,1.1303067207336426,1.1625289916992188,1.4342308044433594,1.5223503112792969,2.118349075317383,0.5948543548583984,1.1140437126159668,884.72,0.00
cold-get,1000,kayak,10240,1.0398802757263184,1.0235309600830078,1.1764049530029297,1.2741303443908691,1.9061565399169922,0.6420612335205078,1.0211560726165771,961.65,0.00
cold-update,1000,kayak,10240,1.421701192855835,0.9652376174926758,2.097153663635254,2.225182056427002,3.0176639556884766,0.5855560302734375,1.4026806354522705,703.38,0.00
hot-get,1000,asfp,10240,1.0262022018432617,0.9499788284301758,1.3416051864624023,1.5539097785949705,2.1178722381591797,0.6396770477294922,1.0085618495941162,974.47,0.00
