experiment,variant,cases,rows_with_overhead,arbiter_mean_us_avg,profiler_mean_us_avg,total_overhead_us_avg,overhead_over_mean_latency_avg,overhead_over_e2e_total_latency_avg,arbiter_mean_us_max,profiler_mean_us_max,profiler_fallback_count_sum,profiler_recheck_count_sum
placement-trace-fixed-depth-size1k-slack200-20260620,faaspe,4,4,22.36964898960044,14.902114635333419,37.27176362493386,0.07108705041427013,0.05562594099839603,28.257649391889572,27.87420681367318,3.0,3.0
placement-trace-fixed-depth-size1k-slack200-20260620,local,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-trace-fixed-depth-size1k-slack200-20260620,remote,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-trace-fixed-depth-size1k-slack200-20260620,trace-oracle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamic-storage-load-20260620,faaspe,4,4,27.215956555058558,19.6201567693303,46.83611332438886,0.0555469216012965,0.03719599434208416,36.686420595894255,37.89924938852588,3.0,3.0
dynamic-storage-load-20260620,local,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamic-storage-load-20260620,remote,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamic-storage-load-20260620,storage-load-oracle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khop-trace-faaspe-explore-20260620,faaspe,4,4,12.186952323342362,11.765675153583288,23.95262747692565,0.024319328918899263,0.020619747745206928,14.311738001803556,18.989537687351305,4.0,3.0
khop-trace-faaspe-explore-20260620,khop-oracle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khop-trace-faaspe-explore-20260620,local,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khop-trace-faaspe-explore-20260620,remote,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-matrix-size-sweep-depth1-1m-20260620,faaspe,28,28,21.283776621289906,14.807912493346347,36.09168911463625,0.0873074876729015,0.06237896149881285,44.73538681243857,39.30939051012198,21.0,21.0
placement-matrix-size-sweep-depth1-1m-20260620,local,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-matrix-size-sweep-depth1-1m-20260620,remote,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-matrix-depth-sweep-size1k-20260620,faaspe,32,32,23.433343982712056,12.514071349869482,35.947415332581535,0.06331613936249698,0.04897277083354362,43.35857694968581,43.79333229735494,24.0,24.0
placement-matrix-depth-sweep-size1k-20260620,local,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placement-matrix-depth-sweep-size1k-20260620,remote,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
