depth,object_size,variant,strategy,median_ms,p90_ms,p99_ms,mean_ms,total_time_s,num_op,native_count,func_count,pushback_count,profiler_fallback_count,profiler_override,source_csv,source_invocation_log,oracle_side,selected_side,placement_correct_rate,oracle_median_ms,oracle_total_time_s,normalized_median_latency,normalized_total_latency,normalized_regret
1,1024,local,local,0.16808509826660156,0.1965045928955078,0.25553941726684554,0.1712203025817871,0.06575298309326172,300,300,0,0,0,,matrix_depth1_size1024_local.csv,invocations_depth1_size1024_local.jsonl,local,local,1.0,0.16808509826660156,0.06575298309326172,1.0,1.0,1.0
1,1024,remote,remote,0.7752180099487305,0.9103536605834961,1.0360002517700195,0.7738931973775228,0.2588469982147217,300,0,300,0,0,,matrix_depth1_size1024_remote.csv,invocations_depth1_size1024_remote.jsonl,local,remote,0.0,0.16808509826660156,0.06575298309326172,4.612056737588652,3.936657867637461,4.520220938058437
1,1024,faaspe,faaspe,0.14388561248779297,0.16765594482421875,0.2547311782836907,0.1504333813985189,0.07261896133422852,300,300,0,0,0,,matrix_depth1_size1024_faaspe.csv,invocations_depth1_size1024_faaspe.jsonl,local,local,1.0,0.16808509826660156,0.06575298309326172,0.8560283687943262,1.1044207869813045,1.0
1,1024,static-only,faaspe,0.1366138458251953,0.15478134155273438,0.21368026733398432,0.13608217239379883,0.06098175048828125,300,300,0,0,0,,matrix_depth1_size1024_static-only.csv,invocations_depth1_size1024_static-only.jsonl,local,local,1.0,0.16808509826660156,0.06575298309326172,0.8127659574468085,0.9274370168390212,1.0
1,1024,arbiter-only,faaspe,0.26977062225341797,0.42054653167724615,0.5046868324279783,0.3002595901489258,0.1352074146270752,300,300,0,0,0,,matrix_depth1_size1024_arbiter-only.csv,invocations_depth1_size1024_arbiter-only.jsonl,local,local,1.0,0.16808509826660156,0.06575298309326172,1.6049645390070921,2.056293239734869,1.0
1,1024,runtime-only,faaspe,0.240325927734375,0.4332542419433624,0.8642745018005371,0.2689027786254883,0.11415386199951172,300,270,30,0,3,native,matrix_depth1_size1024_runtime-only.csv,invocations_depth1_size1024_runtime-only.jsonl,local,local,0.9,0.16808509826660156,0.06575298309326172,1.4297872340425533,1.7361016432912237,1.300619647705911
2,1024,local,local,0.28908252716064453,0.3090381622314453,0.3437304496765135,0.2916073799133301,0.10188984870910645,300,300,0,0,0,,matrix_depth2_size1024_local.csv,invocations_depth2_size1024_local.jsonl,local,local,1.0,0.28908252716064453,0.10188984870910645,1.0,1.0,1.0
2,1024,remote,remote,0.8766651153564453,1.0327339172363281,1.117258071899414,0.8702588081359863,0.29805660247802734,300,0,300,0,0,,matrix_depth2_size1024_remote.csv,invocations_depth2_size1024_remote.jsonl,local,remote,0.0,0.28908252716064453,0.10188984870910645,3.0325773195876287,2.9252826091534714,2.984351110711395
2,1024,faaspe,faaspe,0.2765655517578125,0.2954244613647461,0.3121423721313476,0.2686031659444173,0.10612916946411133,300,300,0,0,0,,matrix_depth2_size1024_faaspe.csv,invocations_depth2_size1024_faaspe.jsonl,local,local,1.0,0.28908252716064453,0.10188984870910645,0.9567010309278351,1.0416069000858768,1.0
2,1024,static-only,faaspe,0.30350685119628906,0.7757902145385744,0.8667349815368651,0.4121239980061849,0.16181468963623047,300,300,0,0,0,,matrix_depth2_size1024_static-only.csv,invocations_depth2_size1024_static-only.jsonl,local,local,1.0,0.28908252716064453,0.10188984870910645,1.0498969072164948,1.5881335745056242,1.0
2,1024,arbiter-only,faaspe,0.26857852935791016,0.34935474395751953,0.3755450248718261,0.2733453114827474,0.10790610313415527,300,300,0,0,0,,matrix_depth2_size1024_arbiter-only.csv,invocations_depth2_size1024_arbiter-only.jsonl,local,local,1.0,0.28908252716064453,0.10188984870910645,0.9290721649484536,1.0590466518624944,1.0
2,1024,runtime-only,faaspe,0.31280517578125,0.5200147628784182,0.848708152770996,0.3576262791951497,0.14095711708068848,300,270,30,0,3,native,matrix_depth2_size1024_runtime-only.csv,invocations_depth2_size1024_runtime-only.jsonl,local,local,0.9,0.28908252716064453,0.10188984870910645,1.0820618556701032,1.3834265029003854,1.1322960697904487
3,1024,local,local,0.31554698944091797,0.33507347106933594,0.3728604316711424,0.3194793065388997,0.10773634910583496,300,300,0,0,0,,matrix_depth3_size1024_local.csv,invocations_depth3_size1024_local.jsonl,local,local,1.0,0.31554698944091797,0.10773634910583496,1.0,1.0,1.0
3,1024,remote,remote,0.766754150390625,0.8942127227783204,0.9950590133666991,0.7633495330810547,0.2569591999053955,300,0,300,0,0,,matrix_depth3_size1024_remote.csv,invocations_depth3_size1024_remote.jsonl,local,remote,0.0,0.31554698944091797,0.10773634910583496,2.4299206649036647,2.3850743229935447,2.3893551709212484
3,1024,faaspe,faaspe,0.47087669372558594,0.5937099456787109,0.6952834129333496,0.47394434611002606,0.1781926155090332,300,300,0,0,0,,matrix_depth3_size1024_faaspe.csv,invocations_depth3_size1024_faaspe.jsonl,local,local,1.0,0.31554698944091797,0.10773634910583496,1.4922553834529657,1.6539693147944472,1.0
3,1024,static-only,faaspe,0.43761730194091797,0.7776260375976562,0.9084606170654291,0.5200505256652832,0.18857622146606445,300,300,0,0,0,,matrix_depth3_size1024_static-only.csv,invocations_depth3_size1024_static-only.jsonl,local,local,1.0,0.31554698944091797,0.10773634910583496,1.3868530411786928,1.7503490978779717,1.0
3,1024,arbiter-only,faaspe,0.605463981628418,0.7305383682250978,0.812530517578125,0.5451114972432455,0.1896817684173584,300,300,0,0,0,,matrix_depth3_size1024_arbiter-only.csv,invocations_depth3_size1024_arbiter-only.jsonl,local,local,1.0,0.31554698944091797,0.10773634910583496,1.9187759727993956,1.7606106944558166,1.0
3,1024,runtime-only,faaspe,0.5490779876708984,0.7320404052734375,0.8194231986999507,0.5525358517964681,0.21094155311584473,300,270,30,0,3,native,matrix_depth3_size1024_runtime-only.csv,invocations_depth3_size1024_runtime-only.jsonl,local,local,0.9,0.31554698944091797,0.10773634910583496,1.7400831129580658,1.957942281008854,1.1186548191782049
4,1024,local,local,0.594019889831543,0.7332563400268555,0.8223462104797361,0.6321446100870768,0.2084367275238037,300,300,0,0,0,,matrix_depth4_size1024_local.csv,invocations_depth4_size1024_local.jsonl,local,local,1.0,0.594019889831543,0.2084367275238037,1.0,1.0,1.0
4,1024,remote,remote,0.7674694061279297,0.8652448654174805,0.9300780296325684,0.7410955429077148,0.24925804138183594,300,0,300,0,0,,matrix_depth4_size1024_remote.csv,invocations_depth4_size1024_remote.jsonl,local,remote,0.0,0.594019889831543,0.2084367275238037,1.291992775436484,1.195845110134779,1.1939498781778728
4,1024,faaspe,faaspe,1.055002212524414,1.275634765625,1.3275289535522459,1.0427029927571614,0.3778667449951172,300,300,0,0,0,,matrix_depth4_size1024_faaspe.csv,invocations_depth4_size1024_faaspe.jsonl,local,local,1.0,0.594019889831543,0.2084367275238037,1.7760385310054185,1.8128606675230228,1.0
4,1024,static-only,faaspe,0.6582736968994141,0.6974935531616211,0.7477068901062012,0.6195274988810221,0.21238040924072266,300,300,0,0,0,,matrix_depth4_size1024_static-only.csv,invocations_depth4_size1024_static-only.jsonl,local,local,1.0,0.594019889831543,0.2084367275238037,1.1081677704194262,1.0189202822543286,1.0
